ticket_id,account_id,customer_id,product_id,service_id,title,description,category,priority,severity,status,channel,created_at,updated_at,first_response_due_at,resolution_due_at,sla_status,assigned_team,assignee,tags
tkt_001,acct_001,cust_001,prod_api,svc_api_gateway,API timeout during batch sync,Batch sync jobs return 504 errors during morning export window,technical,p1,sev1,pending_engineering,portal,2026-05-01T09:15:00Z,2026-05-01T12:40:00Z,2026-05-01T09:30:00Z,2026-05-01T13:15:00Z,breached,api_support,Hana Lee,api_timeout|batch|enterprise
tkt_002,acct_002,cust_002,prod_identity,svc_auth,SSO login loop after metadata rotation,Users loop back to sign in after IdP metadata update,access,p2,sev2,open,email,2026-05-02T08:20:00Z,2026-05-02T10:55:00Z,2026-05-02T09:20:00Z,2026-05-02T20:20:00Z,at_risk,identity_support,Noah Smith,login|sso|metadata
tkt_003,acct_003,cust_003,prod_billing,svc_billing,Invoice refund request for duplicate seats,Customer reports duplicate seat charges after renewal,billing,p3,sev3,resolved,email,2026-05-02T11:00:00Z,2026-05-03T10:30:00Z,2026-05-02T15:00:00Z,2026-05-06T11:00:00Z,within_sla,billing_support,Lina Ortiz,refund|renewal|seats
tkt_004,acct_004,cust_004,prod_integrations,svc_integration_sync,CRM sync failing for updated contacts,Updated contacts are not replicated into the customer CRM,technical,p2,sev2,pending_engineering,slack,2026-05-03T07:30:00Z,2026-05-03T09:45:00Z,2026-05-03T08:30:00Z,2026-05-03T19:30:00Z,within_sla,integration_support,Ravi Shah,crm_sync|integration|contacts
tkt_005,acct_005,cust_005,prod_data_export,svc_data_export,Large CSV export stops at 80 percent,Scheduled export stops before completion for large datasets,technical,p2,sev2,open,portal,2026-05-03T14:10:00Z,2026-05-03T16:25:00Z,2026-05-03T15:10:00Z,2026-05-04T02:10:00Z,at_risk,data_support,Emma Ford,data_export|csv|timeout
tkt_006,acct_006,cust_006,prod_identity,svc_mfa,MFA enrollment failed for new admins,New admins cannot complete MFA setup after role promotion,security,p2,sev2,resolved,portal,2026-05-04T09:40:00Z,2026-05-04T15:20:00Z,2026-05-04T10:40:00Z,2026-05-04T21:40:00Z,within_sla,identity_support,Noah Smith,mfa|admin|security
tkt_007,acct_007,cust_007,prod_api,svc_api_gateway,Intermittent 429 responses after traffic spike,API clients receive burst rate limits below contracted quota,technical,p3,sev3,resolved,email,2026-05-04T13:05:00Z,2026-05-05T09:10:00Z,2026-05-04T17:05:00Z,2026-05-08T13:05:00Z,within_sla,api_support,Hana Lee,rate_limit|quota|api
tkt_008,acct_008,cust_008,prod_billing,svc_billing,Refund eligibility for canceled pilot,Customer asks whether canceled pilot invoices can be refunded,billing,p4,sev4,closed,chat,2026-05-05T10:00:00Z,2026-05-05T12:05:00Z,2026-05-06T10:00:00Z,2026-05-12T10:00:00Z,within_sla,billing_support,Lina Ortiz,refund|pilot|billing
tkt_009,acct_009,cust_009,prod_identity,svc_web_portal,Portal access blocked for billing owner,Billing owner cannot access invoices after permission change,access,p2,sev2,resolved,phone,2026-05-05T15:15:00Z,2026-05-06T08:35:00Z,2026-05-05T16:15:00Z,2026-05-06T03:15:00Z,breached,identity_support,Noah Smith,portal|access|billing_owner
tkt_010,acct_010,cust_010,prod_data_export,svc_data_export,Data retention question for archived exports,Customer asks how long archived export files remain available,how_to,p4,sev4,closed,portal,2026-05-06T06:50:00Z,2026-05-06T09:00:00Z,2026-05-07T06:50:00Z,2026-05-13T06:50:00Z,within_sla,data_support,Emma Ford,data_retention|exports|policy
tkt_011,acct_001,cust_001,prod_integrations,svc_integration_sync,Salesforce token expired without alert,Integration stopped because OAuth token expired without notification,technical,p2,sev2,resolved,slack,2026-05-06T10:25:00Z,2026-05-07T11:10:00Z,2026-05-06T11:25:00Z,2026-05-06T22:25:00Z,breached,integration_support,Ravi Shah,salesforce|oauth|alerting
tkt_012,acct_002,cust_002,prod_api,svc_notification,Webhook notifications delayed by 30 minutes,Outbound webhook callbacks arrive late during peak traffic,incident,p2,sev2,resolved,email,2026-05-07T08:05:00Z,2026-05-07T17:30:00Z,2026-05-07T09:05:00Z,2026-05-07T20:05:00Z,within_sla,api_support,Hana Lee,webhook|delay|incident
tkt_013,acct_003,cust_003,prod_identity,svc_auth,SCIM group mapping not applied,SCIM groups sync but role assignments remain unchanged,access,p3,sev3,resolved,portal,2026-05-07T14:20:00Z,2026-05-08T10:15:00Z,2026-05-07T18:20:00Z,2026-05-11T14:20:00Z,within_sla,identity_support,Noah Smith,scim|roles|identity
tkt_014,acct_004,cust_004,prod_billing,svc_billing,Credit memo status unclear,Finance team cannot see status for an approved credit memo,billing,p4,sev4,resolved,email,2026-05-08T07:10:00Z,2026-05-08T12:55:00Z,2026-05-09T07:10:00Z,2026-05-15T07:10:00Z,within_sla,billing_support,Lina Ortiz,credit_memo|billing|finance
tkt_015,acct_005,cust_005,prod_api,svc_api_gateway,API latency above baseline in LATAM,Regional API latency increased after morning deploy,technical,p2,sev2,resolved,portal,2026-05-08T13:45:00Z,2026-05-09T09:20:00Z,2026-05-08T14:45:00Z,2026-05-09T01:45:00Z,breached,api_support,Hana Lee,latency|latam|deploy
tkt_016,acct_006,cust_006,prod_integrations,svc_integration_sync,OAuth callback mismatch for sandbox integration,Sandbox app returns invalid callback URL during authorization,technical,p3,sev3,closed,portal,2026-05-09T09:00:00Z,2026-05-09T16:40:00Z,2026-05-09T13:00:00Z,2026-05-13T09:00:00Z,within_sla,integration_support,Ravi Shah,oauth|sandbox|callback
tkt_017,acct_007,cust_007,prod_data_export,svc_data_export,Export file missing custom fields,Custom fields are absent from scheduled export output,technical,p3,sev3,resolved,email,2026-05-09T11:30:00Z,2026-05-10T08:45:00Z,2026-05-09T15:30:00Z,2026-05-13T11:30:00Z,within_sla,data_support,Emma Ford,custom_fields|export|schema
tkt_018,acct_008,cust_008,prod_identity,svc_mfa,Lost device MFA reset request,Customer needs MFA reset after losing primary device,security,p2,sev2,resolved,chat,2026-05-10T10:05:00Z,2026-05-10T11:10:00Z,2026-05-10T11:05:00Z,2026-05-10T22:05:00Z,within_sla,identity_support,Noah Smith,mfa|reset|lost_device
tkt_019,acct_009,cust_009,prod_api,svc_api_gateway,Sev1 outage escalation request,Strategic customer reports production API outage for payment flow,incident,p1,sev1,pending_engineering,phone,2026-05-10T15:50:00Z,2026-05-10T18:30:00Z,2026-05-10T16:05:00Z,2026-05-10T19:50:00Z,breached,api_support,Hana Lee,outage|sev1|payment
tkt_020,acct_010,cust_010,prod_integrations,svc_integration_sync,ERP connector retries duplicate orders,ERP connector retries create duplicate order records,incident,p2,sev2,resolved,portal,2026-05-11T06:45:00Z,2026-05-11T12:00:00Z,2026-05-11T07:45:00Z,2026-05-11T18:45:00Z,within_sla,integration_support,Ravi Shah,erp|duplicate_orders|retries
tkt_021,acct_001,cust_001,prod_data_export,svc_data_export,Customer asks for weekly data export schedule,Admin wants automated weekly export delivery for audit review,how_to,p4,sev4,closed,portal,2026-05-11T10:30:00Z,2026-05-11T12:10:00Z,2026-05-12T10:30:00Z,2026-05-18T10:30:00Z,within_sla,data_support,Emma Ford,scheduled_export|audit|how_to
tkt_022,acct_002,cust_002,prod_billing,svc_billing,Tax exemption documentation needed,Customer asks how to submit tax exemption certificate,billing,p4,sev4,resolved,email,2026-05-12T09:20:00Z,2026-05-12T14:35:00Z,2026-05-13T09:20:00Z,2026-05-19T09:20:00Z,within_sla,billing_support,Lina Ortiz,tax|exemption|billing
tkt_023,acct_003,cust_003,prod_api,svc_api_gateway,API key rotation caused failed deploys,New API key works locally but fails in deployment pipeline,security,p2,sev2,resolved,portal,2026-05-12T13:25:00Z,2026-05-13T08:00:00Z,2026-05-12T14:25:00Z,2026-05-13T01:25:00Z,breached,api_support,Hana Lee,api_key|rotation|deploy
tkt_024,acct_004,cust_004,prod_identity,svc_auth,Login works in Chrome but fails in Edge,Users can authenticate in Chrome but Edge shows stale session error,access,p3,sev3,resolved,slack,2026-05-13T08:40:00Z,2026-05-13T13:15:00Z,2026-05-13T12:40:00Z,2026-05-17T08:40:00Z,within_sla,identity_support,Noah Smith,login|browser|session
tkt_025,acct_005,cust_005,prod_integrations,svc_integration_sync,Slack integration channel mapping failed,Integration sends alerts to default channel instead of mapped channel,technical,p3,sev3,resolved,email,2026-05-13T12:00:00Z,2026-05-14T09:30:00Z,2026-05-13T16:00:00Z,2026-05-17T12:00:00Z,within_sla,integration_support,Ravi Shah,slack|channel_mapping|integration
tkt_026,acct_006,cust_006,prod_api,svc_api_gateway,Enterprise customer asks for SLA credits,Customer asks if recent latency breach qualifies for SLA credit,billing,p2,sev2,open,portal,2026-05-14T09:15:00Z,2026-05-14T11:45:00Z,2026-05-14T10:15:00Z,2026-05-14T21:15:00Z,at_risk,billing_support,Lina Ortiz,sla_credit|latency|enterprise
tkt_027,acct_007,cust_007,prod_data_export,svc_data_export,Export API returns partial dataset,Export API returns only one page even when more data exists,technical,p2,sev2,pending_engineering,email,2026-05-14T14:25:00Z,2026-05-15T08:20:00Z,2026-05-14T15:25:00Z,2026-05-15T02:25:00Z,breached,data_support,Emma Ford,partial_export|pagination|api
tkt_028,acct_008,cust_008,prod_identity,svc_web_portal,New admin cannot invite teammates,New admin role cannot invite teammates from workspace settings,access,p3,sev3,open,chat,2026-05-15T10:10:00Z,2026-05-15T12:05:00Z,2026-05-15T14:10:00Z,2026-05-19T10:10:00Z,within_sla,identity_support,Noah Smith,admin|invite|workspace
tkt_029,acct_009,cust_009,prod_integrations,svc_integration_sync,Customer reports repeated integration disconnects,Payment data integration disconnects several times per day,technical,p1,sev1,pending_engineering,phone,2026-05-15T16:30:00Z,2026-05-15T18:55:00Z,2026-05-15T16:45:00Z,2026-05-15T20:30:00Z,breached,integration_support,Ravi Shah,integration_disconnect|payment|sev1
tkt_030,acct_010,cust_010,prod_billing,svc_billing,Billing contact change request,Admin asks how to replace billing contact before renewal,how_to,p4,sev4,pending_customer,portal,2026-05-16T07:50:00Z,2026-05-16T09:10:00Z,2026-05-17T07:50:00Z,2026-05-23T07:50:00Z,within_sla,billing_support,Lina Ortiz,billing_contact|renewal|how_to
